Place,Name,Latitude,Longitude,Junior
Market Harborough,Welland Park,-0.92497900,52.47448700,0
Market Rasen Racecourse,Market Rasen Racecourse,-0.30901900,53.38050200,0
Marlborough Common,Marlborough Common,-1.73258100,51.42448000,0
Marple,"Brabyns Park, Stockport",-2.05650900,53.40447600,0
Marshall Drive,Marshall Playing Field,-0.94795600,54.57409600,0
Meadowmill,Meadowmill Sports Centre,-2.96624200,55.95424900,0
Medina I.O.W.,"Seaclose Park, Medina, I.O.W.",-1.28699900,50.71182300,0
Melksham,King George V Park,-2.13623500,51.37722600,0
Melton Mowbray,Melton Country park,-0.87906800,52.78000200,0
Mersea Island,Cudmore Grove,0.99368000,51.79164000,0
Merthyr,Merthyr Leisure Village,-3.37565800,51.73896000,0
Middleton Woods,Middleton Park,-1.55723300,53.75189200,0
Mile End,"Mile End Park, London",-0.03394600,51.51816900,0
Milford Waterfront,Milford Waterfront,-5.03150700,51.71076300,0
Millennium Country,Forest of Marston Vale - Millennium Coun,-0.53408200,52.06526500,0
Millfield,Millfield Park & Recreation Area,-1.19086400,54.12515400,0
Millhouses,Millhouses Park,-1.50502700,53.33851600,0
Millom,Millom Network Centre,-3.26996000,54.21399000,0
Milton Keynes,"Willen Lake, Milton Keynes",-0.72298400,52.05011000,0
Minehead,Minehead,-3.46959100,51.20752400,0
Mole Valley,Denbies Wine Estate,-0.33064500,51.24825900,0
Montrose,Roselea Football Club,-2.45522300,56.72629700,0
Moors Valley,Moors Valley Country Park and Forest,-1.84941900,50.85124000,0
Morecambe Prom,Promenade,-2.88510200,54.06508200,0
Mount Edgcumbe,Mount Edgcumbe House and Country Park,-4.17549300,50.35766400,0
Mount Stuart,Mount Stuart,-5.01945300,55.79288800,0
Mountbatten School,Mountbatten School,-1.46968500,50.98214900,0
Mulbarton,"The Common, Mulbarton",1.23671300,52.56162500,0
Myrtle,Myrtle Park,-1.83829500,53.84634400,0
Nant y Pandy,Nant y Pandy Nature Reserve,-4.31323300,53.25764200,0
Netley Abbey,Royal Victoria Country Park,-1.33445300,50.86534500,0
New Earswick,New Earswick Sports Club,-1.07767700,53.99025000,0
Newark,Sconce and Devon Park,-0.81905000,53.07003100,0
Newbiggin-by-the-Sea,Newbiggin Promenade,-1.50538600,55.18521500,0
Newborough Forest,Newborough Forest,-4.38675700,53.14416300,0
Newbury,"Greenham Common, Newbury",-1.29226700,51.37842600,0
Newcastle,"Exhibition Park, Newcastle",-1.61799400,54.98380300,0
Newent,Newent Community School/Forest Leisure C,-2.41005600,51.92651500,0
Newport,"Tredegar House, Newport",-3.03093900,51.55947900,0
Newtown,Dolerw Park Bridge,-3.31901200,52.51465800,0
Nobles,Nobles Park,-4.48184600,54.16582800,0
Nonsuch,"Nonsuch Park, Cheam",-0.23107800,51.35692600,0
Normanby Hall,Normanby Hall Country Park,-0.65992400,53.63840700,0
Northala Fields,Northala Fields Park,-0.37671100,51.54127200,0
Northallerton,Hambleton Leisure Centre,-1.43551900,54.34846600,0
Northampton,Northampton Racecourse,-0.88444500,52.24814300,0
Northwich,Carey Park,-2.51087600,53.26551100,0
Norwich,"Eaton Park, Norwich",1.25568200,52.62042200,0
